date,time,close_price,comparison_to_prev_close,result
17-01-2024,9:00AM,472.97,No previous candle,
17-01-2024,10:00AM,472.85,Below previous candle,0.0
17-01-2024,11:00AM,473.11,Above previous candle,1.0
17-01-2024,12:00PM,473.26,Above previous candle,1.0
17-01-2024,1:00PM,471.97,Below previous candle,0.0
17-01-2024,2:00PM,471.325,Below previous candle,0.0
17-01-2024,3:00PM,472.02,Above previous candle,1.0
17-01-2024,4:00PM,472.1789,Above previous candle,1.0
17-01-2024,5:00PM,471.68,Below previous candle,0.0
17-01-2024,6:00PM,470.6602,Below previous candle,0.0
17-01-2024,7:00PM,471.47,Above previous candle,1.0
17-01-2024,8:00PM,472.275,Above previous candle,1.0
17-01-2024,9:00PM,472.13,Below previous candle,0.0
17-01-2024,10:00PM,472.03,Below previous candle,0.0
17-01-2024,11:00PM,472.2,Above previous candle,1.0
18-01-2024,12:00AM,472.32,Above previous candle,1.0
18-01-2024,9:00AM,472.85,Above previous candle,1.0
18-01-2024,10:00AM,473.43,Above previous candle,1.0
18-01-2024,11:00AM,474.15,Above previous candle,1.0
18-01-2024,12:00PM,474.34,Above previous candle,1.0
18-01-2024,1:00PM,473.72,Below previous candle,0.0
18-01-2024,2:00PM,473.87,Above previous candle,1.0
18-01-2024,3:00PM,474.2701,Above previous candle,1.0
18-01-2024,4:00PM,474.4687,Above previous candle,1.0
18-01-2024,5:00PM,473.18,Below previous candle,0.0
18-01-2024,6:00PM,473.9801,Above previous candle,1.0
18-01-2024,7:00PM,475.74,Above previous candle,1.0
18-01-2024,8:00PM,476.46,Above previous candle,1.0
18-01-2024,9:00PM,476.5,Above previous candle,1.0
18-01-2024,10:00PM,476.6,Above previous candle,1.0
18-01-2024,11:00PM,476.88,Above previous candle,1.0
19-01-2024,12:00AM,476.74,Below previous candle,0.0
19-01-2024,9:00AM,478.42,Above previous candle,1.0
19-01-2024,10:00AM,478.62,Above previous candle,1.0
19-01-2024,11:00AM,478.83,Above previous candle,1.0
19-01-2024,12:00PM,478.91,Above previous candle,1.0
19-01-2024,1:00PM,478.51,Below previous candle,0.0
19-01-2024,2:00PM,477.92,Below previous candle,0.0
19-01-2024,3:00PM,478.2803,Above previous candle,1.0
19-01-2024,4:00PM,478.87,Above previous candle,1.0
19-01-2024,5:00PM,480.195,Above previous candle,1.0
19-01-2024,6:00PM,481.6694,Above previous candle,1.0
19-01-2024,7:00PM,482.21,Above previous candle,1.0
19-01-2024,8:00PM,482.42,Above previous candle,1.0
19-01-2024,9:00PM,482.38,Below previous candle,0.0
19-01-2024,10:00PM,482.37,Below previous candle,0.0
19-01-2024,11:00PM,482.48,Above previous candle,1.0
20-01-2024,12:00AM,482.64,Above previous candle,1.0
